INFO 2025-10-30 17:28:44,903 autoreload 16616 9244 Watching for file changes with StatReloader
INFO 2025-10-30 17:29:06,648 basehttp 16616 26452 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
WARNING 2025-10-30 17:29:06,883 log 16616 26452 Bad Request: /api/auth/login/
WARNING 2025-10-30 17:29:06,885 basehttp 16616 26452 "POST /api/auth/login/ HTTP/1.1" 400 68
WARNING 2025-10-30 17:32:18,475 log 16616 18564 Bad Request: /api/auth/login/
WARNING 2025-10-30 17:32:18,481 basehttp 16616 18564 "POST /api/auth/login/ HTTP/1.1" 400 68
INFO 2025-10-30 17:32:53,374 basehttp 16616 3224 "POST /api/auth/login/ HTTP/1.1" 200 789
INFO 2025-10-30 17:32:53,747 basehttp 16616 3224 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:53,759 basehttp 16616 7760 "OPTIONS /api/books/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:53,962 basehttp 16616 3224 "OPTIONS /api/borrow-records/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,062 basehttp 16616 7760 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,077 basehttp 16616 3224 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,145 basehttp 16616 31476 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,155 basehttp 16616 7760 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,218 basehttp 16616 7760 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,222 basehttp 16616 31476 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,241 basehttp 16616 3224 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-10-30 17:32:54,329 basehttp 16616 31476 "OPTIONS /api/categories/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,344 basehttp 16616 15516 "OPTIONS /api/borrow-records/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,553 basehttp 16616 22216 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-10-30 17:32:54,977 basehttp 16616 7760 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-10-30 17:32:54,977 basehttp 16616 3224 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-10-30 17:32:55,168 basehttp 16616 15516 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-10-30 17:32:55,222 basehttp 16616 31476 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-10-30 17:32:55,288 basehttp 16616 7760 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-10-30 17:32:55,345 basehttp 16616 15516 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-10-30 17:32:55,469 basehttp 16616 7760 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-10-30 17:32:55,408 basehttp 16616 22216 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-10-30 17:32:55,375 basehttp 16616 3224 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-10-30 17:32:55,476 basehttp 16616 31476 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-10-30 17:32:55,687 basehttp 16616 22216 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-10-30 17:32:56,409 basehttp 16616 24968 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-10-30 17:32:56,552 basehttp 16616 24968 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-10-30 17:32:57,442 basehttp 16616 17136 "GET /media/book_covers/Screenshot_2025-09-11_184118.jpg HTTP/1.1" 200 12171
INFO 2025-10-30 17:32:57,446 basehttp 16616 33052 "GET /media/book_covers/placeholder.jpg HTTP/1.1" 200 4305
INFO 2025-10-30 17:32:57,447 basehttp 16616 34680 "GET /media/book_covers/Screenshot_2025-09-11_184033.jpg HTTP/1.1" 200 18755
INFO 2025-10-30 17:32:57,771 basehttp 16616 26192 "GET /media/book_covers/pexels-osho-1633973.jpg HTTP/1.1" 200 5817378
INFO 2025-10-30 21:00:38,577 basehttp 16616 29236 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
INFO 2025-10-30 21:00:38,582 basehttp 16616 24960 "OPTIONS /api/borrow-records/ HTTP/1.1" 200 0
INFO 2025-10-30 21:00:38,585 basehttp 16616 29308 "OPTIONS /api/books/ HTTP/1.1" 200 0
WARNING 2025-10-30 21:00:38,714 log 16616 29236 Unauthorized: /api/dashboard-stats/
WARNING 2025-10-30 21:00:38,715 log 16616 29308 Unauthorized: /api/borrow-records/
INFO 2025-10-30 21:00:38,716 basehttp 16616 25288 "OPTIONS /api/reservations/ HTTP/1.1" 200 0
INFO 2025-10-30 21:00:38,718 basehttp 16616 19464 "OPTIONS /api/fines/ HTTP/1.1" 200 0
INFO 2025-10-30 21:00:38,719 basehttp 16616 33908 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-10-30 21:00:38,719 basehttp 16616 24960 "OPTIONS /api/categories/ HTTP/1.1" 200 0
WARNING 2025-10-30 21:00:38,720 basehttp 16616 29236 "GET /api/dashboard-stats/ HTTP/1.1" 401 183
WARNING 2025-10-30 21:00:38,732 basehttp 16616 29308 "GET /api/borrow-records/ HTTP/1.1" 401 183
WARNING 2025-10-30 21:00:38,745 log 16616 25288 Unauthorized: /api/books/
WARNING 2025-10-30 21:00:38,755 log 16616 33908 Unauthorized: /api/categories/
WARNING 2025-10-30 21:00:38,762 log 16616 24960 Unauthorized: /api/users/
WARNING 2025-10-30 21:00:38,771 log 16616 29236 Unauthorized: /api/fines/
WARNING 2025-10-30 21:00:38,778 log 16616 29308 Unauthorized: /api/reservations/
WARNING 2025-10-30 21:00:38,782 basehttp 16616 25288 "GET /api/books/ HTTP/1.1" 401 183
WARNING 2025-10-30 21:00:38,784 basehttp 16616 24960 "GET /api/users/ HTTP/1.1" 401 183
WARNING 2025-10-30 21:00:38,807 basehttp 16616 33908 "GET /api/categories/ HTTP/1.1" 401 183
WARNING 2025-10-30 21:00:38,811 basehttp 16616 29236 "GET /api/fines/ HTTP/1.1" 401 183
WARNING 2025-10-30 21:00:38,818 basehttp 16616 29308 "GET /api/reservations/ HTTP/1.1" 401 183
INFO 2025-10-30 21:00:47,580 basehttp 16616 33732 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-10-30 21:00:49,575 basehttp 16616 33732 "POST /api/auth/login/ HTTP/1.1" 200 789
INFO 2025-10-30 21:00:49,860 basehttp 16616 33732 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-10-30 21:00:49,920 basehttp 16616 33732 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-10-30 21:00:50,010 basehttp 16616 33732 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-10-30 21:00:50,054 basehttp 16616 35688 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-10-30 21:00:50,111 basehttp 16616 35688 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-10-30 21:00:50,177 basehttp 16616 33732 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-10-30 21:00:50,190 basehttp 16616 35688 "GET /api/borrow-records/ HTTP/1.1" 200 2581
INFO 2025-10-30 21:00:50,224 basehttp 16616 33732 "GET /api/users/ HTTP/1.1" 200 6157
INFO 2025-10-30 21:00:50,289 basehttp 16616 35688 "GET /api/reservations/ HTTP/1.1" 200 1985
INFO 2025-10-30 21:00:50,493 basehttp 16616 2156 "GET /api/fines/ HTTP/1.1" 200 2359
INFO 2025-10-30 21:00:50,648 basehttp 16616 26860 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-10-30 21:00:50,655 basehttp 16616 33112 "GET /api/books/ HTTP/1.1" 200 1794
INFO 2025-10-30 21:00:50,748 basehttp 16616 8968 "GET /api/dashboard-stats/ HTTP/1.1" 200 107
INFO 2025-10-30 21:00:50,838 basehttp 16616 33112 "GET /api/categories/ HTTP/1.1" 200 319
INFO 2025-10-31 20:29:33,630 basehttp 16616 7888 "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
